iterations,time taken (in s)
9986,6.957242
847,3.364729
9746,6.793227
8387,6.8104759999999995
7382,6.455488
2050,3.778827
7598,6.205149
4728,4.648795
5713,6.702175
9378,7.14792
6383,6.842301
4221,4.782812
8372,7.149175
5020,5.526935
201,2.099246
4541,4.718253
9926,7.027138
5405,4.62515
5639,7.120448
9620,7.086476
1443,3.204664
4626,4.475498
7143,7.520553
8275,6.99722
3130,4.468621
331,1.437549
6001,6.5954049999999995
7283,6.796215
498,1.771354
9717,6.750515
6095,6.686748
8263,6.656638
8498,6.701806
5375,4.393021
12595,11.817495
18326,11.542462
13550,11.189509
3121,4.517544
1877,3.028343
7827,6.464128
6879,6.56982
9443,7.59652
722,2.033041
12279,11.51839
76177,43.588219
74444,43.191132
29978,21.008995
46894,39.691353
8500,6.792364
27298,20.915993
59081,40.348096
48380,39.436837
7808,7.068353
46725,39.208455
47592,39.223345
9020,6.948139
29168,20.811522
945,2.455574
32498,20.856734
7971,6.792384
75351,42.025092
31683,20.971808
16963,11.534418
38129,21.602585
71505,42.294118
23079,20.870855
68647,42.938341
38581,22.227336
20580,12.440225
53103,38.956117
55713,39.402838
8169,6.149314
77188,41.850997
54075,39.567442
22685,20.223759
1469,3.195813
18685,12.052116
66934,42.489545
79738,42.93227
53888,39.879764
17302,11.972747
40024,22.324651
48282,39.938474
8039,5.963766
45059,39.467775
11729,11.444124
65590,42.325771
72732,42.531013
57244,39.823022
35539,22.450755
26969,20.804726
56374,40.150819
36004,22.792629
22825,20.828875
20002,12.556464
58591,39.732113
40346,21.511264
54357,39.690262
53932,39.096333
73399,42.109353
31147,19.855457
6615,6.405437
76385,42.862995
48190,39.450301
41951,22.191661
1413,3.072373
29396,20.310363
79561,43.030221
37861,21.699705
52061,39.060691
51173,39.475849
58581,39.749234
32874,22.181746
3279,4.32537
22679,20.373414
57468,38.906276
52054,39.990864
8963,6.720326
44999,39.778312
736,2.988885
16018,11.613869
64216,39.71241
5883,6.467575
26806,20.69148
61621,39.639785
53178,39.71231
54007,39.012715
566,2.777022
68461,42.157864000000004
75376,43.302759
6768,6.694269
34444,21.989857
46460,39.177977
22657,20.463604
29994,20.944213
12063,11.276304
51129,40.339444
34247,22.144193
5100,4.480429
52890,40.718033
66661,42.549343
659,2.327931
64352,40.760637
19200,12.240207
57657,39.805521
41388,22.054265
2698,2.901478
31637,20.730865
9341,7.06948
23086,21.633896
177,2.230336
42862,21.932692
33396,22.267352
60980,40.21129
8149,6.776529
14573,10.905213
343,2.0711
77574,42.745053
17644,12.361062
79574,43.151354
1489,2.862523
49134,40.019789
64379,40.826972
43095,23.101058
26160,20.431436
43775,39.577777
54656,40.194865
6027,6.75771
43932,39.998681
41935,22.378045
12315,10.873401
18303,12.704133
14025,11.797336
34555,21.836928
46782,39.222728
35530,22.46605
72328,42.911167
52526,40.146552
27683,20.497129
44863,38.917026
57483,40.464319
38606,21.420566
621,2.457875
860,2.121539
57440,40.504343
37030,22.632919
70572,42.830662
61157,39.526872
38403,22.378923
16656,11.752542
1299,2.272925
64280,39.188271
39286,21.989307
56547,39.835859
51260,40.389304
51362,39.746749
66075,42.756896
48795,39.235841
75520,43.242885
18619,12.447533
24971,21.191617
13821,11.683152
65852,42.663707
5824,6.498722
27432,21.182977
17467,12.048532
10636,6.640481
67556,42.569252
4169,3.817233
31481,20.091318
47156,40.279673
41970,21.87231
74616,42.578294
79001,42.575411
73698,43.594712
71058,42.099605
13568,11.373367
73675,42.236196
37502,22.203636
51911,40.224676
46197,40.284231
73491,42.830184
41937,22.214417
12294,11.746488
30963,21.198998
67982,41.668467
78332,42.392266
13623,11.591209
75134,42.419672
41634,22.153503
35336,22.306919
24438,20.889554
1895,3.689619
70833,42.820466
20115,11.439485
52699,39.291822
50537,40.202516
16540,12.841416
41691,22.146009
11054,11.55939
44759,39.169922
