iterations,time taken (in s)
1559,2.84917
8497,6.643364
3595,4.227369
2728,3.579785
3139,4.485224
3483,3.921503
6822,7.091754
2596,3.666133
6806,6.894718
3200,4.186196
6299,7.476797
4741,4.95602
937,1.9211580000000001
201,1.625697
3639,3.748432
9649,7.29165
9114,7.85245
616,2.114215
9850,7.913151
3271,3.957353
6017,7.162066
6545,7.240425
7863,7.431934
5135,4.4478159999999995
575,1.450774
9554,7.52016
8026,6.421296
2975,3.90454
9261,7.835854
4777,4.259867
2313,3.718585
6829,6.394299
9841,6.99284
1007,2.259094
6380,6.515734
2920,4.217074
2885,4.201997
9309,7.396449
2890,4.002594
8483,6.864674
6982,6.843602
7572,7.442863
15642,12.829575
15048,12.462649
7271,7.045391
1099,2.180351
18890,13.092346
10721,7.755078
2995,4.550918
5525,6.822847
14823,12.488717
3523,3.926508
6168,6.603625
9933,7.622749
11127,12.05295
65470,45.400692
47263,45.336637
15835,12.724631
24778,22.408830000000002
63490,43.974073
66230,47.874815
16453,13.602735
36063,24.647923
67713,47.214732
18374,13.309401
40196,24.618448
55055,43.067342
13651,11.919826
51267,44.227169
35638,24.189123
57420,44.174296
49651,44.31709
32717,22.704075
67927,47.286593
25319,23.307576
32777,24.71658
37334,23.54766
68109,46.788441
74417,46.918594
46949,43.935927
31624,22.774776
50826,43.716368
40166,24.43424
30430,23.425789
32353,22.662202
16445,12.775699
30038,21.966559
59942,44.078699
16700,13.684757
29057,22.892995
6165,7.267485
55232,44.081039
19473,12.576663
66757,47.588405
71370,47.714847
25405,23.104907
67554,46.582249
9448,6.716654
63208,44.059245
76986,47.496382
4485,4.285918
35444,24.454412
9420,7.214704
35242,24.603743
35178,24.102789
48601,44.087418
5875,6.724061
32146,24.464305
68943,47.563095
3089,3.419965
19096,13.112826
14740,12.235042
43892,44.721837
4742,4.013165
10427,7.026454
2440,2.8435230000000002
26608,22.750663
17837,12.637529
37737,23.749816
11665,11.88449
78707,48.117219
6524,6.886813
33008,24.397865
5523,6.988234
49659,44.405835
79398,46.980813
29835,22.568907
21548,12.734935
33182,24.363934
4328,4.2256730000000005
46975,44.217948
14604,12.334329
75774,47.000733
1639,3.26849
60631,44.843294
67329,47.507533
25460,22.900996
69471,47.00482
68125,47.707603
6356,6.178489
44940,44.115963
1425,2.61571
8199,7.368858
40780,24.08012
26144,22.400547
6239,7.171195
37843,23.962606
39227,24.093722
40256,24.470412
24296,23.161915
79983,48.158981
37474,24.971626
79768,48.330438
62981,44.719388
6152,6.913819
17513,13.216773
14054,12.291028
3986,3.615089
