iterations,time taken (in s)
552,0.261235416
328,0.204494833
571,0.256355125
780,0.332139291
183,0.274451209
517,0.316621042
550,0.370025791
10,0.127111541
63,0.291634167
118,0.230533542
304,0.517496375
372,0.251596083
767,0.397996292
775,0.346655625
660,0.302089417
779,0.318455083
171,0.290491125
667,0.354989709
838,0.42944775
876,0.368722167
674,0.312236958
251,0.263777459
77,0.297101458
938,0.363511833
3,0.258016542
721,0.352467542
47,0.306073584
694,0.409064292
729,0.496969958
680,0.289748166
564,0.295719459
461,0.265750667
566,0.298272833
663,0.304165584
931,0.350700709
803,0.3376315
840,0.327484917
276,0.337023334
450,0.3285115
242,0.204708666
483,0.255138375
156,0.25079025
332,0.332149583
295,0.295645625
824,0.356382959
688,0.39391275
384,0.30752625
728,0.363114875
700,0.421513208
253,0.249865709
705,0.300365375
185,0.220271208
737,0.384586417
959,0.334423791
926,0.36892025
487,0.254556041
15,0.330631084
928,0.352578125
352,0.267194208
255,0.231671875
35,0.206748542
490,0.325719667
551,0.27504575
174,0.19893325
556,0.271266292
623,0.259004666
685,0.327384875
366,0.288342959
759,0.395115
518,0.285876375
195,0.229853208
205,0.239577833
410,0.287544666
334,0.234704125
866,0.331304709
628,0.327483542
936,0.338565458
691,0.3325535
239,0.252074916
362,0.281797875
696,0.339134292
538,0.271322667
173,0.292531958
102,0.228453458
39,0.203858334
605,0.33815975
63,0.174149041
662,0.291171834
390,0.257580542
388,0.298809417
454,0.266182625
162,0.231720292
515,0.223223875
93,0.22223525
746,0.405026
351,0.269676875
77,0.263374
111,0.243543792
211,0.239777542
81,0.195666834
387,0.254710834
681,0.348021125
365,0.30600075
977,0.349249125
335,0.29497975
321,0.258987375
608,0.299918792
156,0.251518708
636,0.308705166
71,0.15961825
23,0.224261625
268,0.251726083
588,0.254007708
496,0.26358825
132,0.260291916
694,0.441660875
618,0.371450625
988,0.434943041
343,0.412169
660,0.310715125
289,0.297037416
964,0.33413925
145,0.203787583
2,0.210291
584,0.317289708
249,0.246506084
368,0.255006209
35,0.241198125
566,0.287813458
317,0.284802208
979,0.404790583
588,0.270670167
81,0.207039
661,0.259559292
817,0.35228275
665,0.286355334
493,0.263497375
49,0.235727625
32,0.170776291
860,0.325049542
178,0.220310459
965,0.368322833
282,0.264345667
124,0.2599125
578,0.340814666
21,0.212588958
913,0.373493083
167,0.247043333
287,0.34177225
875,0.321560542
518,0.282925458
677,0.370714875
354,0.316266292
103,0.260697084
509,0.305572416
326,0.210142125
492,0.406530042
553,0.594504292
212,0.360845958
572,0.488979542
270,0.249443375
575,0.311552667
806,0.489406542
76,0.219134542
805,0.391871958
204,0.272478083
905,0.473632292
344,0.365991666
861,0.442817167
22,0.190670125
898,0.307709083
655,0.28722675
529,0.306006042
70,0.276791542
682,0.285568959
918,0.363168583
418,0.253716667
771,0.338017709
779,0.302098792
528,0.292547209
849,0.31263725
154,0.199184291
779,0.315455583
120,0.19770325
19,0.25425075
80,0.216425292
150,0.197610583
389,0.250473458
68,0.239284916
906,0.338286917
914,0.314697542
725,0.323012875
823,0.409086917
31,0.199696166
944,0.372890917
370,0.29387925
398,0.247851125
197,0.274049625
140,0.235142584
828,0.333720042
729,0.358168833
918,0.4005115
615,0.36247825
1421,0.471614042
1324,0.333072959
615,0.338394041
513,0.334723167
395,0.243103667
1638,0.570843
1998,0.929966125
1350,0.312081875
1623,0.718383
876,0.4464765
889,0.373862458
969,0.317063084
384,0.329772
1778,0.487977917
1888,0.549407541
1168,0.368552458
771,0.38277275
1911,0.667211375
1189,0.357065209
588,0.317491583
1826,0.572937167
393,0.270328792
480,0.2606945
1280,0.427465625
1040,0.381916667
571,0.27232525
894,0.378216417
222,0.208763791
1138,0.410699
781,0.344435583
1325,0.373900583
153,0.255561917
1807,0.445782125
1657,0.472745958
1408,0.486927542
1573,0.492395458
656,0.283430959
1702,0.459650958
1212,0.40208825
1562,0.456284917
86,0.21139475
1260,0.417847083
310,0.275649333
1755,0.52677475
245,0.248438541
1631,0.430152583
1464,0.598827
1808,0.491029125
904,0.413899917
853,0.293973041
1687,0.444485208
1732,0.490279333
540,0.262575459
863,0.377979875
1760,0.459901166
199,0.28278225
372,1.123642792
143,0.473538583
466,1.079785875
586,1.397319542
1028,1.183520334
1405,1.625976708
211,0.239421541
302,0.235193666
915,0.325907625
929,0.33511925
694,0.328845792
74,0.293873166
1501,0.517197208
1722,0.489805791
632,0.226790292
88,0.206675583
679,0.253493583
1204,0.357321708
75,0.260308
183,0.359893625
487,0.258838083
1746,0.433370542
712,0.397261833
656,0.28739975
1631,0.501049958
1756,0.473917666
1757,0.447322208
635,0.304427125
92,0.5503335
336,0.3763195
82,0.216615875
1732,0.445535334
1521,0.506242542
760,0.301142459
