iterations,time taken (in s)
179,0.248566333
305,0.220117
383,0.273191
666,0.22259575
578,0.344807458
59,0.169501875
102,0.202534417
826,0.298288958
267,0.207028375
932,0.313262
833,0.498542458
728,0.270228208
329,0.244286
738,0.278313959
55,0.182539416
542,0.219471042
922,0.314319541
112,0.213108375
67,0.200792875
912,0.337209291
790,0.304758708
496,0.246359833
104,0.168407459
391,0.256433458
263,0.226658333
46,0.229795708
248,0.211672708
233,0.169576333
995,0.371610084
225,0.367752834
739,0.2633685
924,0.319698708
700,0.273823958
363,0.255966167
799,0.343735125
562,0.224478958
578,0.294182333
566,0.270246958
523,0.254512541
769,0.317603791
650,0.26315225
38,0.157277167
45,0.224011833
435,0.279743875
940,0.331235167
821,0.33142675
61,0.248162833
65,0.187905125
373,0.290839417
179,0.177060042
293,0.268833125
907,0.343116084
656,0.238818958
676,0.247879833
363,0.290924125
371,0.233212208
575,0.254534709
991,0.294748917
490,0.243988708
210,0.302514375
522,0.230262042
539,0.239353584
978,0.251651292
975,0.379742417
570,0.265078208
989,0.285211375
627,0.448967542
446,0.214425375
66,0.28745825
587,0.229204833
993,0.280968708
108,0.167347042
252,0.190148
864,0.330808167
267,0.209217583
609,0.235057584
630,0.25455325
607,0.280326542
737,0.306955459
844,0.333301542
936,0.296787167
634,0.275020541
100,0.175042958
534,0.256474
816,0.287942708
162,0.2142895
919,0.383343208
76,0.117861667
986,0.313908625
955,0.314359
891,0.280759
2,0.109507959
865,0.318142959
9,0.146779958
326,0.272513125
19,0.232719417
753,0.274947333
396,0.217763791
296,0.237091875
986,0.326768709
251,0.169227
928,0.321609583
800,0.326007416
377,0.310077708
544,0.224237833
157,0.243287875
611,0.282129625
329,0.27231175
807,0.446891792
705,0.3282395
424,0.259741958
393,0.327057375
160,0.335782417
250,0.272794458
849,0.292003458
633,0.270624
780,0.263880875
154,0.166900166
598,0.247590166
398,0.268545083
635,0.348812083
221,0.214185084
920,0.360062208
74,0.146822625
802,0.405644334
358,0.211961959
289,0.214980667
817,0.2999105
681,0.302636958
368,0.259784
710,0.340385833
307,0.229189041
207,0.182913541
481,0.275075042
633,0.255401166
966,0.301416667
361,0.279612458
862,0.300814541
844,0.274517167
966,0.304934583
547,0.472782625
590,0.241974792
223,0.285467083
846,0.326390541
223,0.166023417
736,0.350837541
425,0.239090292
530,0.246484625
933,0.334788125
798,0.256515292
677,0.200134583
619,0.316192292
825,0.40884275
607,0.281062708
816,0.258164375
700,0.40036375
143,0.608802791
333,0.288080458
846,0.2698125
58,0.180247792
669,0.205070042
753,0.266971
195,0.21270425
100,0.18514825
712,0.298270042
255,0.212534292
165,0.177069042
596,0.247223917
675,0.295989958
366,0.233118042
886,0.275742958
150,0.209325792
814,0.275623167
360,0.257024125
109,0.454095584
983,0.280882917
109,0.190589375
333,0.26737675
762,0.275993125
133,0.169543792
389,0.261495958
314,0.199089042
672,0.243781834
265,0.25707875
423,0.214663834
421,0.243940875
926,0.267633917
393,0.272822042
250,0.191646084
112,0.1552465
330,0.306704458
1904,0.39639675
1236,0.473624125
1190,0.327742583
793,0.278122584
992,0.292238542
253,0.182600083
1669,0.534843792
88,0.16974075
1028,0.302673625
434,0.255803584
293,0.162456375
301,0.224870042
1730,0.49900375
323,0.274233041
1610,0.430189583
1829,0.423231
30,0.139708792
688,0.317850708
1997,0.596829708
154,0.1903665
935,0.309827542
1783,0.427349542
1017,0.32274
1622,0.469682375
1833,0.435610291
198,0.237313125
176,0.263286833
458,0.239990458
1362,0.342143667
1894,0.432037417
1989,0.452170667
1765,0.415251375
1509,0.342006708
1725,0.390021584
1315,0.298513
1247,0.311166584
1147,0.317051208
706,0.32857775
1874,0.466706292
493,0.2791895
1872,0.408348
1371,0.515265875
1830,0.579867958
1744,0.503483125
229,0.188902917
845,0.337883958
1465,0.426051416
1865,0.401730875
822,0.289406083
399,0.182055334
1684,0.406034958
1818,0.590877166
943,0.317098916
1439,0.428971125
1767,0.444324125
1080,0.315992584
